tap_number,date_time,beer,brewer,style,keg_cost,glass_price
4,Thu Feb 07 2013 22:26:00 GMT-0700 (MST),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Thu Feb 07 2013 23:10:00 GMT-0700 (MST),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Fri Feb 08 2013 17:51:00 GMT-0700 (MST),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri Feb 08 2013 21:11:00 GMT-0700 (MST),Sunset Red,Mile High Beer,Amber,76.44,3.75
4,Fri Feb 08 2013 21:18:00 GMT-0700 (MST),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Sat Feb 09 2013 00:07:00 GMT-0700 (MST),Red Line,Downtown Brewers,Amber,76.50,3.75
4,Sat Feb 09 2013 13:19:00 GMT-0700 (MST),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
4,Sun Feb 10 2013 21:31:00 GMT-0700 (MST),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Mon Feb 11 2013 00:36:00 GMT-0700 (MST),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
4,Tue Feb 12 2013 17:04:00 GMT-0700 (MST),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
5,Tue Feb 12 2013 18:46:00 GMT-0700 (MST),Red Line,Downtown Brewers,Amber,76.50,3.75
4,Wed Feb 13 2013 18:31:00 GMT-0700 (MST),Stout Street,Downtown Brewers,Stout,88.81,4.5
5,Wed Feb 13 2013 22:45:00 GMT-0700 (MST),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Wed Feb 13 2013 22:46:00 GMT-0700 (MST),Sunset Red,Mile High Beer,Amber,76.44,3.75
3,Thu Feb 14 2013 00:48:00 GMT-0700 (MST),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Thu Feb 14 2013 20:06:00 GMT-0700 (MST),City Center IPA,Downtown Brewers,IPA,81.28,3.5
3,Thu Feb 14 2013 21:42:00 GMT-0700 (MST),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri Feb 15 2013 13:03:00 GMT-0700 (MST),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
5,Fri Feb 15 2013 17:03:00 GMT-0700 (MST),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
3,Fri Feb 15 2013 17:32:00 GMT-0700 (MST),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Fri Feb 15 2013 20:03:00 GMT-0700 (MST),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Fri Feb 15 2013 23:49:00 GMT-0700 (MST),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
3,Sun Feb 17 2013 16:24:00 GMT-0700 (MST),Sour Divide,Mile High Beer,Sour,108.80,5
5,Sun Feb 17 2013 16:34:00 GMT-0700 (MST),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Sun Feb 17 2013 19:27:00 GMT-0700 (MST),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Mon Feb 18 2013 21:22:00 GMT-0700 (MST),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Tue Feb 19 2013 21:40:00 GMT-0700 (MST),Posers,ABC Brewery,Light Lager,49.05,3
5,Wed Feb 20 2013 15:02:00 GMT-0700 (MST),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Thu Feb 21 2013 14:55:00 GMT-0700 (MST),Sour Divide,Mile High Beer,Sour,108.80,5
4,Thu Feb 21 2013 15:12:00 GMT-0700 (MST),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu Feb 21 2013 18:22:00 GMT-0700 (MST),Posers,ABC Brewery,Light Lager,49.05,3
4,Thu Feb 21 2013 20:42:00 GMT-0700 (MST),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Thu Feb 21 2013 21:18:00 GMT-0700 (MST),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Fri Feb 22 2013 16:49:00 GMT-0700 (MST),Red Line,Downtown Brewers,Amber,76.50,3.75
4,Fri Feb 22 2013 17:45:00 GMT-0700 (MST),Posers,ABC Brewery,Light Lager,49.05,3
4,Fri Feb 22 2013 20:45:00 GMT-0700 (MST),Posers,ABC Brewery,Light Lager,49.05,3
5,Fri Feb 22 2013 21:10:00 GMT-0700 (MST),Stout Street,Downtown Brewers,Stout,88.81,4.5
4,Sat Feb 23 2013 00:24:00 GMT-0700 (MST),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
4,Sun Feb 24 2013 15:13:00 GMT-0700 (MST),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Sun Feb 24 2013 18:00:00 GMT-0700 (MST),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Mon Feb 25 2013 16:26:00 GMT-0700 (MST),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Tue Feb 26 2013 16:12:00 GMT-0700 (MST),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
4,Tue Feb 26 2013 23:33:00 GMT-0700 (MST),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Wed Feb 27 2013 17:25:00 GMT-0700 (MST),Stout Street,Downtown Brewers,Stout,88.81,4.5
4,Thu Feb 28 2013 14:03:00 GMT-0700 (MST),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Thu Feb 28 2013 17:23:00 GMT-0700 (MST),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Thu Feb 28 2013 20:12:00 GMT-0700 (MST),Splatz,Big Beer Corp,Light Lager,51.20,3
4,Thu Feb 28 2013 21:35:00 GMT-0700 (MST),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Thu Feb 28 2013 22:58:00 GMT-0700 (MST),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Thu Feb 28 2013 23:28:00 GMT-0700 (MST),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Fri Mar 01 2013 17:27:00 GMT-0700 (MST),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
5,Fri Mar 01 2013 21:32:00 GMT-0700 (MST),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Fri Mar 01 2013 21:38:00 GMT-0700 (MST),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Sat Mar 02 2013 15:36:00 GMT-0700 (MST),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Sun Mar 03 2013 19:23:00 GMT-0700 (MST),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
4,Mon Mar 04 2013 16:51:00 GMT-0700 (MST),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Mon Mar 04 2013 18:38:00 GMT-0700 (MST),Posers,ABC Brewery,Light Lager,49.05,3
6,Mon Mar 04 2013 21:06:00 GMT-0700 (MST),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Tue Mar 05 2013 19:49:00 GMT-0700 (MST),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Tue Mar 05 2013 23:06:00 GMT-0700 (MST),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Thu Mar 07 2013 14:09:00 GMT-0700 (MST),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
4,Thu Mar 07 2013 19:24:00 GMT-0700 (MST),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Thu Mar 07 2013 20:38:00 GMT-0700 (MST),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Thu Mar 07 2013 21:41:00 GMT-0700 (MST),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Fri Mar 08 2013 16:27:00 GMT-0700 (MST),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Fri Mar 08 2013 20:15:00 GMT-0700 (MST),City Center IPA,Downtown Brewers,IPA,81.28,3.5
4,Fri Mar 08 2013 20:37:00 GMT-0700 (MST),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Fri Mar 08 2013 23:08:00 GMT-0700 (MST),Red Line,Downtown Brewers,Amber,76.50,3.75
5,Sat Mar 09 2013 18:36:00 GMT-0700 (MST),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
4,Sat Mar 09 2013 19:02:00 GMT-0700 (MST),Splatz,Big Beer Corp,Light Lager,51.20,3
4,Mon Mar 11 2013 13:01:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Mon Mar 11 2013 15:25:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
4,Tue Mar 12 2013 19:03:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Wed Mar 13 2013 00:27:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
4,Wed Mar 13 2013 20:02:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Thu Mar 14 2013 17:55:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
4,Thu Mar 14 2013 18:43:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Thu Mar 14 2013 21:45:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
4,Thu Mar 14 2013 22:38:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Fri Mar 15 2013 16:12:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Fri Mar 15 2013 19:51:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri Mar 15 2013 22:00:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
4,Fri Mar 15 2013 22:06:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
6,Sat Mar 16 2013 19:00:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Sun Mar 17 2013 14:36:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Sun Mar 17 2013 20:36:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Mon Mar 18 2013 21:11:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
5,Mon Mar 18 2013 23:46:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Wed Mar 20 2013 13:35:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Wed Mar 20 2013 18:44:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Thu Mar 21 2013 00:57:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
6,Thu Mar 21 2013 19:02:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Thu Mar 21 2013 23:39:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Fri Mar 22 2013 18:17:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Fri Mar 22 2013 18:23:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Fri Mar 22 2013 21:32:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
6,Fri Mar 22 2013 22:41:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
5,Sat Mar 23 2013 17:30:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
5,Sun Mar 24 2013 20:03:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
5,Mon Mar 25 2013 20:27:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Mon Mar 25 2013 21:17:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Tue Mar 26 2013 23:26:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
5,Wed Mar 27 2013 17:24:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
6,Thu Mar 28 2013 00:21:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
4,Thu Mar 28 2013 16:53:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Thu Mar 28 2013 19:01:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu Mar 28 2013 19:44:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Thu Mar 28 2013 21:25:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Thu Mar 28 2013 23:47:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
3,Fri Mar 29 2013 17:44:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
5,Fri Mar 29 2013 20:23:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
3,Fri Mar 29 2013 21:18:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
4,Fri Mar 29 2013 22:52:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
5,Sat Mar 30 2013 14:21:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
4,Sat Mar 30 2013 23:17:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Sun Mar 31 2013 23:26:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
4,Mon Apr 01 2013 19:31:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Mon Apr 01 2013 23:55:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Tue Apr 02 2013 21:27:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Wed Apr 03 2013 18:03:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Wed Apr 03 2013 23:35:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Thu Apr 04 2013 18:18:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Thu Apr 04 2013 20:00:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
4,Thu Apr 04 2013 23:17:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
5,Thu Apr 04 2013 23:59:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
6,Fri Apr 05 2013 00:11:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
4,Fri Apr 05 2013 19:13:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Fri Apr 05 2013 19:44:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
5,Fri Apr 05 2013 22:32:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
3,Fri Apr 05 2013 23:24:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Sat Apr 06 2013 00:16:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
4,Sun Apr 07 2013 20:36:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Mon Apr 08 2013 13:24:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Mon Apr 08 2013 19:51:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
3,Mon Apr 08 2013 21:25:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Tue Apr 09 2013 23:13:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
3,Wed Apr 10 2013 20:13:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
3,Thu Apr 11 2013 18:52:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Thu Apr 11 2013 19:33:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
4,Thu Apr 11 2013 19:52:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Fri Apr 12 2013 00:30:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
3,Fri Apr 12 2013 15:00:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
4,Fri Apr 12 2013 17:00:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Fri Apr 12 2013 19:31:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Fri Apr 12 2013 21:26:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
3,Fri Apr 12 2013 22:11:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
5,Sat Apr 13 2013 15:09:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
3,Sun Apr 14 2013 15:43:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Sun Apr 14 2013 22:48:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
3,Mon Apr 15 2013 19:49:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Tue Apr 16 2013 15:29:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
4,Tue Apr 16 2013 18:16:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
4,Wed Apr 17 2013 18:40:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
3,Wed Apr 17 2013 23:01:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
4,Thu Apr 18 2013 17:15:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Thu Apr 18 2013 18:12:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
4,Thu Apr 18 2013 21:11:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Thu Apr 18 2013 21:55:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
6,Fri Apr 19 2013 17:21:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
4,Fri Apr 19 2013 17:30:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
5,Fri Apr 19 2013 20:32:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
4,Fri Apr 19 2013 22:06:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Sat Apr 20 2013 15:13:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Sun Apr 21 2013 15:08:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
5,Mon Apr 22 2013 00:54:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Tue Apr 23 2013 00:24:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
4,Tue Apr 23 2013 19:45:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
5,Tue Apr 23 2013 20:24:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Wed Apr 24 2013 21:01:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
4,Thu Apr 25 2013 00:11:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Thu Apr 25 2013 18:54:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Thu Apr 25 2013 21:15:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Thu Apr 25 2013 23:35:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
4,Fri Apr 26 2013 00:01:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
4,Fri Apr 26 2013 19:09:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Fri Apr 26 2013 20:25:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
5,Fri Apr 26 2013 23:31:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Sat Apr 27 2013 00:11:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
4,Sun Apr 28 2013 13:26:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Sun Apr 28 2013 19:33:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
4,Mon Apr 29 2013 22:05:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
5,Tue Apr 30 2013 00:06:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
3,Tue Apr 30 2013 19:50:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
5,Wed May 01 2013 18:41:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
4,Wed May 01 2013 23:27:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
3,Thu May 02 2013 00:01:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
2,Thu May 02 2013 16:18:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu May 02 2013 18:10:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Thu May 02 2013 19:53:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
2,Thu May 02 2013 20:04:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
2,Fri May 03 2013 00:21:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
2,Fri May 03 2013 18:43:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Fri May 03 2013 20:50:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Fri May 03 2013 21:53:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
2,Fri May 03 2013 22:55:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Sat May 04 2013 19:16:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
2,Sat May 04 2013 23:54:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
2,Mon May 06 2013 15:17:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
2,Mon May 06 2013 23:53:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Tue May 07 2013 16:31:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Wed May 08 2013 20:10:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
2,Wed May 08 2013 20:47:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Thu May 09 2013 18:07:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Thu May 09 2013 18:41:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
4,Thu May 09 2013 20:06:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Fri May 10 2013 00:04:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri May 10 2013 16:16:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
2,Fri May 10 2013 18:32:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Fri May 10 2013 20:37:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Fri May 10 2013 22:21:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
2,Fri May 10 2013 22:35:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
4,Sat May 11 2013 19:59:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
4,Sun May 12 2013 22:03:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Mon May 13 2013 17:33:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
4,Tue May 14 2013 13:06:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Tue May 14 2013 21:03:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
4,Wed May 15 2013 20:07:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
2,Thu May 16 2013 17:54:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
4,Thu May 16 2013 18:58:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Thu May 16 2013 20:42:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
4,Thu May 16 2013 23:35:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
2,Fri May 17 2013 14:33:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri May 17 2013 17:00:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
2,Fri May 17 2013 19:52:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Fri May 17 2013 23:08:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
2,Fri May 17 2013 23:52:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
5,Sat May 18 2013 17:04:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
6,Sat May 18 2013 23:05:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
6,Mon May 20 2013 13:59:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
2,Mon May 20 2013 23:46:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
